company,location,title,job_desc,role
Draper,"Cambridge, MA",Junior Simulation Engineer,"Bachelor's Degree in an Engineering or Science discipline and 0-4+ years of experience

MATLAB and Simulink model development experience

Strong ability to apply Probability and Random Processes to system modeling and simulation
Ability to work and succeed within a process-oriented team
Great verbal and written communication skills, including the ability to write clear Requirements Documents, Test Plans and Test Reports
Experience developing analytical models of discrete and continuous physical systems
Knowledge and familiarity with aerospace systems and related sciences
Systems Engineering coursework and/or experience
Ability to pick up new tools on the fly (Python, Image Processing, Machine Learning, SysML)
Object oriented programming with C++ or similar language
Linux system use, administration & programming
Data analysis and visualizationApplicants selected for this position will be required to obtain and maintain a government security clearance, which requires proof of US citizenship.",machine learning engineer
Scaleapi,"San Francisco, CA",Machine Learning Research Engineer,NA,machine learning engineer
STATS PERFORM,"Chicago, IL",Machine Learning Engineer,"Build Stats Perform’s Machine Learning platform and services to support major AI and Data Science use casesManage the ML lifecycle, including data prep, training data generation, feature engineering, optimization, experimentation, reproducibility, deployment and end-to-end workflow managementEnable ML and Deep Learning capabilities at vast scale by developing the necessary systems, tools, technologies and integrations as part of the ML Platform offeringHelp accelerate the velocity from idea to interference in productionContribute to capabilities around data programming, data augmentation (transformation function), active learning (slicing function) for training data, and transfer learningEngineer the de-bias, ethics, security and compliance aspects of ML pipelines, centralized feature store, model metastore, and inference metrics store etc.Work with partners and stakeholders to identify data acquisition opportunities, create requirements, transform large volume data into AI ready high quality relevant datasetsAchieve quality ML data using a triad of people, process & technologyIdentify, assess and implement 3rd party technologies that may complement Stats Perform capabilities, and accelerate advancement of critical features; maintain strong collaborative relationships with 3rd party technology providers3+ years of relevant industry experience in Data & analytics platform or machine learning and data scienceBachelor’s degree in Engineering, Computer Science, Mathematics, Computational Statistics, Machine Learning or related STEM fieldsVerbal/written communication and presentation skills, including an ability to effectively communicate with both business and technical teams, and both internal and external stakeholdersAn open minded, structured thinkerA team player and consensus builderIntellectual curiosity and excellent problem-solving skills, including the ability to structure and prioritize an approach for maximum impactExperience in projects involving large scale multi-dimensional datastore, complex business infrastructure, and cross-functional teams, and track-record of successfully launched ML projects in productionHands on experience with building enterprise grade machine learning and data platformsFamiliarity with common machine learning algorithms (random forest, XGBoost, etc.)Familiarity with advanced ML techniques (neural networks/deep learning, reinforcement learning, active learning, data augmentation and GAN etc.)Experience with high-level programming languages and big data tools and ecosystemsIn-depth working knowledge of cloud infrastructure such as AWS or Google CloudExperience in integrating with internal and external complex systems that are able to scale and demonstrate security, reliability, scalability, and cost efficiency",machine learning engineer
Hyundai-Aptiv,"Boston, MA",Machine Learning Research Scientist - Lidar/Camera/3D,"
Design, implement, and deploy novel algorithms (re)building realistic large-scale 3D virtual environments using vision and LIDAR data, where the generated 3D environment can be used for autonomous driving simulation.
Develop processes and tools that can use sensor data (lidar+camera) to generate large-scale 3D virtual environments for a simulation platform, enabling realistic virtual tests of core autonomous driving systems.
Design, implement, and maintain software tools for simulation.
Collaborate with teams and stakeholders in offices around the world.
Use and develop state-of-the-art tools and methods to automate the 3D assets generation pipeline, making it possible to scale the process of generating 3D environments for new locations.
Work closely with various groups (e.g. perception, localization, planning and control, test and validation, etc.) to provide simulated environment solutions for their development and to test autonomous driving requirements.
Conduct experiments, write reports, patents and publications.
Masters or PhD in Machine Learning, Computer Science, Applied Mathematics, Statistics, Physics or a related field.
Experience with photogrammetry and/or point cloud meshing technologies.
Experience designing, training, and analyzing neural networks for at least one of the following applications: Object detection/classification, Image segmentation, Sensor fusion, Tracking, Multitask learning, Network compression, Reinforcement learning, Unsupervised learning.
Fluency in Python or C++.
Experience with PyTorch (preferred), TensorFlow, or other deep learning frameworks.
Experience with (1) LiDAR point cloud data & software development or (2) camera image data & software development.
Experience with 3D objects data formats and object creation pipelines.
Experience with Linux work environment, software, and toolchains.
Excellent analytical, communication, and writing skills.
Experience developing software as part of a team.
Database file manipulation using C++ / Python
Docker
Unity
Professional experience in software development for robotics systems (mapping, localization) or complex system simulations
Geographical Information Systems (GIS) tools and standards
Familiarity with CUDA, Git, CMake, continuous integration tools and the agile development process.",machine learning engineer
Google,"Sunnyvale, CA","Controls Systems Engineer, Machine Learning, Cloud","
MS degree in Engineering, Science or related field, or equivalent practical experience.5 years of experience in designing and implementing controls systems and dynamic modeling.5 years of experience with Machine Learning and construction of algorithms and programming background (C, Python, MATLAB or Shell).Experience with Machine Learning.
PhD in Engineering, Science or related field, or equivalent practical experience.Familiarity with digital signal processing and time-series analysis.
Experience with dynamic system analysis, feedback control systems (PID Control) and optical control.Experience with optimization: Linear Programming and Convex Optimization.Experience with modeling/statistical software such as TensorFlow, Simulink, R, or Matlab Machine Learning Toolbox.Research and develop new algorithms and methods for optimizing data center efficiency, performance.Design, validate and implement controls algorithms to handle electrical and mechanical stability.Analyze and recommend approaches to handling dynamics of the electromechanical systems and their interactions within a data center.Conduct empirical statistical analysis/modeling on relevant data for use in data center controls.
Collaborate with the Engineering team to implement proposed strategies and algorithms in our technology system; develop large scale Machine Learning algorithms for pattern recognition and Bayesian and non-linear systems.",machine learning engineer
Hive,"San Francisco, CA",Machine Learning Engineer,"
Everything involved in applying a ML model to a production use case, including, designing and coding up the neural network, gathering and refining data, training and tuning the model, deploying it at scale with high throughput and uptime, and analyzing the results in the wild in order to continuously update and improve accuracy and speed
Interface closely with the Backend and DevOps teams as well as with our internal data labeling services
You have an undergraduate or graduate degree in computer science or similar technical field, with significant coursework in mathematics or statistics
You have 1-2 years industry machine learning experience
You have successfully trained and deployed a deep learning machine model (image, NLP, video, or audio) into production, with measurably improved performance over baseline, either in industry or as a personal project
You have strong experience with a high-level machine learning frameworks such as Tensorflow, Caffe, or Torch, and familiarity with the others
You know the ins and outs of Python, especially as it applies to the above ML frameworks
You are capable of quickly coding and prototyping data pipelines involving any combination of Python, Node, bash, and linux command-line tools, especially when applied to large datasets consisting of millions of files
You have a working knowledge of the following technologies, or are not afraid of picking it up on the fly: C++, Scala/Spark, SQL, Cassandra, Docker
You are up-to-date on the latest deep neural net research and architectures, both in understanding the theory and motivations behind the techniques, as well as how to implement them in the ML framework of your choice
You have great communication skills and ability to work with others
You are a strong team player, with a do-whatever-it-takes attitude",machine learning engineer
"Flagship Pioneering, Inc.","Cambridge, MA","Machine Learning Scientist, Chemistry",NA,machine learning engineer
Akkio,"Cambridge, MA",Startup Software Engineer,software development: 1 year (Preferred)python: 1 year (Preferred)United States (Required)Other formsOne locationHealth insuranceDental insuranceVision insuranceOtherInnovative -- innovative and risk-takingAggressive -- competitive and growth-orientedOutcome-oriented -- results-focused with strong performance cultureMonday to FridayOnly full-time employees eligibleTemporarily due to COVID-19,machine learning engineer
Apple,"Seattle, WA",Applied Machine Learning Researcher,"
Strong academic and publication record
Deep technical skills in machine learning, deep learning, computer vision, natural language processing, or artificial intelligence
A passion for creating innovative techniques and making these methods robust and scalable
Ability to explain and present deep technical ideas
Creative, collaborative, & innovation focused",machine learning engineer
Apple,"Seattle, WA","AI/ML - Machine Learning Engineer, Information Intelligence","
5+ years of experience in computer vision and deep learning
Excellent knowledge and good practical skills in major ML and CV algorithms
Practical experience with modern computer vision techniques involving deep learning for object segmentation, detection, recognition or equivalent
Mastery of Python or C++ along with experience leveraging deep learning frameworks
Experience building industrial or consumer-grade computer vision systems is highly desirable
Excellent interpersonal and communication skills",machine learning engineer
Apple,"Seattle, WA",Apple Media Products Engineering - Machine Learning Engineer,"
At least 5 years ML related work experience with MS degree or 3 years ML related work experience with PhD or equivalent.
Excellent knowledge and good practical skills in ML and CV algorithms.
Skilled in deep learning for image/video classification, recognition, object detection, segmentation, OCR, and etc.
Practical understanding of the mathematics behind modern machine learning, linear algebra, and statistics.
Strong publication in machine learning/deep learning/computer vision.
Knowledge and experience with popular deep learning frameworks (e.g. Pytorch, Tensorflow, Keras, Caffe).
Strong programming and debugging skills in: Python, C/C++, or equivalent.
Experience in collaborating with infrastructure engineers to deliver final products or services.
Knowledge and experience on audio signal processing, ASR, forced alignment is a plus.
Attention to detail, data accuracy, and quality of output.
Bring passion and dedication to the job and are committed our vision.",machine learning engineer
Apple,"Seattle, WA","AI/ML - Machine Learning Engineer - Sensing, Machine Intelligence","
Experience building extensible and scalable data and modeling pipelines
Experience working with time-series sensor data (motion/IMU, audio, wireless technologies, optical, electrical and others)
Strong software development skills, with proficiency in PythonSolid understanding of foundational statistics concepts and ML algorithmsExperience applying machine learning to solve practical problemsSimilar experience on product-oriented team",machine learning engineer
Apple,"Seattle, WA","AI/ML - Machine Learning Educator, Machine Intelligence","
Understand a wide variety of machine learning techniques and how to apply them to develop models.
Have experience developing educational materials and experiences for machine learning.
Are fluent in Python or Swift.
Are passionate about helping others learn in a problem-based educational environment that includes in-person and online courses.
Skilled at asking questions that encourage others to think broadly and deeply and pursue self-study.
Knowledgeable in theories and methods for supporting and studying teaching and learning.
Have empathy and skill at working with learners from a variety of backgrounds and skill levels, including engineers, managers, and designers.
Can work independently and collaborate expertly with the AI/Machine Learning group and across other organizations within the company.
Have an open mind and a desire to explore new ideas and approaches to engineering education.
Have superior verbal and written interpersonal skills.",machine learning engineer
MathWorks,"Natick, MA",Machine Learning - Senior Software Engineer,NA,machine learning engineer
care.coach,"Millbrae, CA",Senior Natural Language AI & Machine Learing Engineer,"Coordinate with engineering, operational, and healthcare personnel to identify and specify software development priorities and to provide technical documentation and recommendationsPrepare data, including sensitive patient medical records and avatar interaction data, for use in machine learning systemsAssist in the architecture, engineering, and development of data-producing/consuming software, including changes to legacy web application software, to optimize the use of machine learning and AI techniquesDesign and implement conversational AI systems:Automate patient-avatar conversations using automatic speech recognition (ASR), natural language processing (NLP), and natural language generation (NLG) techniquesIntelligently and in real-time divert interactions to human staff if the AI system has low confidenceDynamically learn and improve conversational AI based on the self-labeling nature of diverted interactionsApply advanced techniques to compensate for environmental noise and age-related changes in speechMS or PhD in Computer Science or Software Engineering, or equivalent experience developing complex software5+ years of experience (including grad school) developing machine learning and voice/conversation-based applications for practical use2+ Years in an agile software development environment, preferably with a startup2+ Years experience developing web-based applications and working with RESTful APIsFluency in Python & MySQLKnowledge of software engineering principlesExperience managing small numbers (e.g. 2) of direct reportsSelf-motivated, independent thinker capable of working within a multi-disciplinary, diverse teamLAMP stack w/ PHPDjango frameworkApplication of machine learning and AI techniques to healthcare data and use casesAudio signal processing and noise reductionMachine visionDevelopment of data mining, analytics, dashboards and reporting systemsMachine Learning: 4 years (Preferred)Doctorate (Preferred)Millbrae, CA (Required)United States (Required)Will you ever need visa/h1b sponsorship?Store DiscountsMonday to FridayNo",machine learning engineer
Capital One,"Cambridge, MA",Machine Learning Software Engineer,"
Bachelor's Degree
At least 2 years of experience with Python, Java or Scala
At least 2 years of experience with Diverse Data
Masters Degree or PhD
2+ years experience with statistical methods, modern ML algorithms, and software engineering best practices
2+ years experience with framework such as Tensorflow, Torch, PyMC3, or Stan
3+ years experience with Julia, Scala, or C++
2+ years experience solving concrete business problems with novel applications of ML
Recent publications at ML conferences and workshops
Technical writings, blog posts, open source projects and contributions",machine learning engineer
Apple,"Seattle, WA","AI/ML - Machine Learning Engineer, Machine Intelligence","
Proficient in Python
Expertise in working with at least one deep learning framework, for example, PyTorch, Torch, TensorFlow, Caffe
Working knowledge of C/C++
Machine learning courses or equivalent practical machine learning experience",machine learning engineer
Unsupervised,"Boulder, CO",Machine Learning Algorithms Engineer,NA,machine learning engineer
Sisu,"San Francisco, CA",Machine Learning Engineer,"
Deliver state-of-the-art, scalable algorithms to production for forecasting time series, personalized ranking, robust statistical analysis of key customer business metrics
Build and maintain the infrastructure for data and model management
Work closely with the Sisu design and engineering teams for ML-adjacent components, such as viz and data processing
Give talks, write blog posts, and produce peer-reviewed publications
Either 2+ years of full-time software engineering experience, 2+ years of professional experience with ML or quantitative analysis, or Ph.D. in Computer Science, Electrical Engineering, Statistics, Mathematics, or Physics
Proficiency with Python and experience with data processing tools (e.g., scipy, numpy, pandas, Pytorch, and Spark)
Competency with forecasting deadlines, modular design, testing, code review, and working with new codebases
Strong technical communication skills",machine learning engineer
Upstart,"San Mateo, CA",Machine Learning Engineer,NA,machine learning engineer
General Mills,"Minneapolis, MN",Machine Learning/Data Engineer,"Increase the Team’s ability to understand, train, and develop ML models and supporting data pipelinesUtilize machine learning models as APIs or software libraries to be integrated into a cloud applicationEstablish scalable, efficient, automated processes for large scale data analyses, model development, validation, and implementation.Design, develop, optimize, and maintain data architecture and pipelines that adhere to ETL principles and business goals.Solve complex data problems to deliver insights that helps our business to achieve their goalsCreate data products for analytics and data scientist team members to improve their productivityAdvise, consult, mentor and coach other data and analytic professionals on data standards and practicesFoster a culture of sharing, re-use, design for scale stability, and operational efficiency of data and analytical solutionsLead evaluation, implementation and deployment of emerging tools & process for analytic data engineering to improve our productivity as a teamDevelop and deliver communication & education plans on analytic data engineering capabilities, standards, and processesPartner with business analysts and solutions architects to develop technical architectures for strategic enterprise projects and initiatives.Learn about machine learning, data science, computer vision, artificial intelligence, statistics, and/or applied mathematics",machine learning engineer
Microsoft,"Bellevue, WA",Machine Learning Engineer,"Mining actionable insights for Connected Store employees from both observational and transaction data.
Evaluating AI models: Connected Store is an AI first product and we will be responsible for the development and productization of complex computer vision models. Understanding the performance and quality of these models and defining the operating envelopes of the AI models will be a core responsibility.
7+ years working in machine learning, data science and/or deep learning fields
Bachelor’s degree in Computer Science or Engineering, or a related field, or equivalent alternative educationTechnical depth and Practical work experience in Machine learning.
Proficiency in the mathematics underlying ML including linear algebra, multivariate statistics, information theory and optimization.
Sufficient coding skill to independently gather data, implement ML models and evaluate their accuracy.
Pragmatic attitude and ability to rapidly iterate and evolve ideas into practical implementations.
Desire to have real-world impact and collaborate in a team of other researchers and engineers.
Experience with Python/Numpy/Jupyter or C++ and Deep learning frameworks like Pytorch or Tensorflow Experience developing and deploying ML models to solve real-world problems.
Experience with image recognition models, image processing or computer vision.",machine learning engineer
Bosch Group,"Pittsburgh, PA",Machine Learning Research Engineer,"
Implementation and Evaluation of novel Deep Learning algorithms on multi-modal Bosch data from application areas such as autonomous driving, robotics, and Internet of Things
Improvement of existing Deep Learning software and creation of novel software tools for high performance GPU computing infrastructure
Runtime analysis and improvements of existing deep implementations
Derivation of optimal software architecture for new deep learning concepts
Clean, efficient, and well-documented implementation of new deep learning methods
Code contributions to our deep learning framework
Development and implementation of tools for continuous testing and for efficient GPU job scheduling
Technical discussions and creation of new ideas together with the Deep Learning research team
Masters Degree in Computer Science, Data Science, or Mathematics
2+ years experience in Machine Learning, or Deep Learning
2+ years programming experience in Python
2+ years experience in development and implementation of Machine Learning software
PhD in Computer Science, Data Science, or Mathematics
Proficiency in Machine Learning algorithms and principles
Experience with Deep Learning frameworks
Experience in large-scale software development, preferably on distributed or GPU systems
Experience with Linux, in particular with Debian-based distributions
FIRST Robotics (For Inspiration and Recognition of Science and Technology)
AWIM (A World In Motion)",machine learning engineer
GokeUSLab,"Santa Clara, CA",ENGINEER - MACHINE LEARNING ENGINEER,"Focus on both machine learning algorithm research and software application development mainly in machine vision field.Research and implement algorithms of object detection and human recognition.Improve deep learning algorithms identifying human activities in videos with open-source deep learning libraries/framework.
Implement applications with software development platforms/tools such as Python, C++/C, Shell script and libraries as OpenCV, Scikit-learn.
Work with team to develop software application, maintain software programs, and improve their scalability.
Test and validate software which integrates machine learning models and application.
Improve software features based on customers’ requirements and feedbacks.
Perform machine learning training on cloud platforms to increase training/verification performance.
Use open-source image datasets to verify performance of designed machine learning algorithms.
Use experiment results to do statistical analysis and fine-tuning algorithms.
Develop model compression methods, such as quantization, pruning, weight sharing to refine our machine learning model.
Efficiently integrate models/software application on hardware platform without accuracy loss.
Co-work with hardware/firmware team to develop machine learning algorithms on the AI-DSP engine of storage products.
Assist verification/testing team to evaluate model performance and fine-tune parameters on AI-DSP chips.",machine learning engineer
Broad Institute,"Cambridge, MA",Senior Machine Learning Engineer,"Undergraduate degree in Computer Science or technical field (Physics, Math, etc.) with significant machine learning coursework from the computer science department.
2+ years training models on large, complex and/or biased datasets.
2+ years experience with deep learning frameworks like TensorFlow, PyTorch, Keras.
Familiar with cloud-based data pipelines (experience with Redshift/BigQuery, Apache Beam, Spark)
Fluent in Python
",machine learning engineer
Microsoft,"Cambridge, MA",Research Intern - Machine Learning,"
AutoML
Probabilistic models
Deep learning
Natural language processing
Monte Carlo methods
Variational inference
Statistics
Statistical learning theory
Gaussian Processes
Reinforcement learning and control
Game Theory and Mechanism Design
Must be accepted to or currently enrolled in a MS or PhD program in Computer Science or related field.

Must have at least 1 machine learning paper submitted or published (e.g. ICML, NeurIPS, AISTATS, UAI or arXiv).",machine learning engineer
Bytedance,"Mountain View, CA",Machine Learning Engineer,NA,machine learning engineer
Apple,"Seattle, WA",Applied Machine Learning Researcher,"
Strong academic and publication record
Deep technical skills in machine learning, deep learning, computer vision, natural language processing, or artificial intelligence
A passion for creating innovative techniques and making these methods robust and scalable
Ability to explain and present deep technical ideas
Creative, collaborative, & innovation focused",machine learning engineer
Apple,"Seattle, WA","AI/ML - Machine Learning Engineer, Information Intelligence","
5+ years of experience in computer vision and deep learning
Excellent knowledge and good practical skills in major ML and CV algorithms
Practical experience with modern computer vision techniques involving deep learning for object segmentation, detection, recognition or equivalent
Mastery of Python or C++ along with experience leveraging deep learning frameworks
Experience building industrial or consumer-grade computer vision systems is highly desirable
Excellent interpersonal and communication skills",machine learning engineer
PayPal,"San Jose, CA",Machine Learning Software Engineer,"Discovering, analyzing, structuring and mining data
Statistical hypotheses validation and model performance analysis
Developing neural network models supporting business use cases
Design and coordinate implementation of DL based solutions for production usage
Deep understanding of data mining algorithms and statistical methods
Experience in successfully applying machine learning to real-world problems
Strong knowledge of Deep Learning frameworks: Keras, Tensorflow, PyTorch, etc
Knowledge in python and packages for data analysis (scipy, numpy, pandas, matplotlib)
Proficient in one or more of programming languages Scala, Java, C++
Strong knowledge of extracting and processing data with RDBMS/NoSQL
Good communication skills and team player attitude
Experience in Natural Language Processing/Understanding using deep neural networks ( RNN (LSTM, GRU) / CNN) is a plus
Experience in working with GPU, profiling/low-level optimizations, Cuda/CuDNN is a plus
Experience with one or more Container-ecosystem (Docker, Mesos, Kubernetes) is a plus
Experience with BigData ecosystem Hadoop, Hive, Spark/PySpark is a plus",machine learning engineer
Apple,"Seattle, WA","AI/ML - Machine Learning Engineer - Sensing, Machine Intelligence","
Experience building extensible and scalable data and modeling pipelines
Experience working with time-series sensor data (motion/IMU, audio, wireless technologies, optical, electrical and others)
Strong software development skills, with proficiency in PythonSolid understanding of foundational statistics concepts and ML algorithmsExperience applying machine learning to solve practical problemsSimilar experience on product-oriented team",machine learning engineer
Apple,"Seattle, WA","AI/ML - Machine Learning Educator, Machine Intelligence","
Understand a wide variety of machine learning techniques and how to apply them to develop models.
Have experience developing educational materials and experiences for machine learning.
Are fluent in Python or Swift.
Are passionate about helping others learn in a problem-based educational environment that includes in-person and online courses.
Skilled at asking questions that encourage others to think broadly and deeply and pursue self-study.
Knowledgeable in theories and methods for supporting and studying teaching and learning.
Have empathy and skill at working with learners from a variety of backgrounds and skill levels, including engineers, managers, and designers.
Can work independently and collaborate expertly with the AI/Machine Learning group and across other organizations within the company.
Have an open mind and a desire to explore new ideas and approaches to engineering education.
Have superior verbal and written interpersonal skills.",machine learning engineer
Capital One,"Cambridge, MA",Machine Learning Software Engineer,"
Bachelor's Degree
At least 2 years of experience with Python, Java or Scala
At least 2 years of experience with Diverse Data
Masters Degree or PhD
2+ years experience with statistical methods, modern ML algorithms, and software engineering best practices
2+ years experience with framework such as Tensorflow, Torch, PyMC3, or Stan
3+ years experience with Julia, Scala, or C++
2+ years experience solving concrete business problems with novel applications of ML
Recent publications at ML conferences and workshops
Technical writings, blog posts, open source projects and contributions",machine learning engineer
Apple,"Seattle, WA",Apple Media Products Engineering - Machine Learning Engineer,"
At least 5 years ML related work experience with MS degree or 3 years ML related work experience with PhD or equivalent.
Excellent knowledge and good practical skills in ML and CV algorithms.
Skilled in deep learning for image/video classification, recognition, object detection, segmentation, OCR, and etc.
Practical understanding of the mathematics behind modern machine learning, linear algebra, and statistics.
Strong publication in machine learning/deep learning/computer vision.
Knowledge and experience with popular deep learning frameworks (e.g. Pytorch, Tensorflow, Keras, Caffe).
Strong programming and debugging skills in: Python, C/C++, or equivalent.
Experience in collaborating with infrastructure engineers to deliver final products or services.
Knowledge and experience on audio signal processing, ASR, forced alignment is a plus.
Attention to detail, data accuracy, and quality of output.
Bring passion and dedication to the job and are committed our vision.",machine learning engineer
MathWorks,"Natick, MA",Machine Learning - Senior Software Engineer,NA,machine learning engineer
Apple,"Seattle, WA","AI/ML - Machine Learning Engineer, Machine Intelligence","
Proficient in Python
Expertise in working with at least one deep learning framework, for example, PyTorch, Torch, TensorFlow, Caffe
Working knowledge of C/C++
Machine learning courses or equivalent practical machine learning experience",machine learning engineer
Apple,"Seattle, WA","AI/ML - Machine Learning Engineer, Machine Intelligence","
Proficient in Python
Expertise in working with at least one deep learning framework, for example, PyTorch, Torch, TensorFlow, Caffe
Working knowledge of C/C++
Machine learning courses or equivalent practical machine learning experience",machine learning engineer
Shipt,"San Francisco, CA",Machine Learning Engineer,"Design, deploy and maintain a cloud infrastructure system for the scheduling and deployment of Data Science's analytic and machine learning jobs
Collaborate with DevOps and Cloud Infrastructure teams to build machine learning deployment pipelines
Collaborate with Engineering and Product teams to implement machine learning interfaces
Help Data Science deliver models into production from beginning to end through scalable endpoints for ease of service integration
Build actionable monitoring and alerting systems
Develop a thorough understanding of our data and interpret them as they relate to shopper behavior, search performance, profitability, and product development
Collaborate with other members of the Data Science and Data Engineering teams on ways to approach problems, augment code, and share new techniquesAt least 2 years of experience building data and machine learning pipelines to the cloud and/or real-time customer facing solutions
Experience with Docker, Git, AWS (or similar cloud technology), and the automated provisioning of infrastructure
Familiarity with R or Python and SQL
Fluent in machine learning tools (scikit-learn, Tensorflow, PyTorch, etc.)
Ability to design docker-based machine learning services/wrappers to serve model results through APIsExperience implementing services in Kubernetes
Experience with data platform tools like Airflow
Experience in e-commerce
Familiarity with deploying machine learning in search engines such ElasticSearch or Solr
Experience deploying machine learning solutions in Golang(Go)",machine learning engineer
Dyno Therapeutics,"Cambridge, MA",Machine Learning Scientist – Data Team,"BS, MS, or Ph.D. in a quantitative field (Machine learning, Math, Physics, CS, Operations Research, Statistics, ...) or equivalent experience.Strong theoretical foundation in machine learning or a related domain.Expertise in one or more general-purpose programming languages (such as Python or C/C++.)Passion for creative problem solving.Proven experience with at least one machine learning library (such as Tensorflow or pyTorch).Papers in machine learning or EECS conferences (NIPS, ICLR, ICML, INFORMS, FOCS,...)AI Internships or residencies at leading AI companies.1 or more years experience working in a data science team in a machine-learning driven company.",machine learning engineer
CloudMedx,"Palo Alto, CA",Machine Learning Engineer,"Design algorithms that combine human & machine workers to train high quality ML modelsThis position requires expertise in acquiring, processing, analyzing and modeling of information from potentially massive amounts of structured and unstructured data.You will collaborate closely with technologists and business stakeholders on the transition of your research into high value business applications.3+ years of experience using deep learning in an applied setting.MS or Ph.D. in Computer Science, Artificial Intelligence, or a related field (at the time of hire)Experience in advanced machine learning for temporal and hierarchical domains (e.g. recurrent neural networks, deep learning).Experience working with Big Data and strong knowledge of big data infrastructure (e.g., Hadoop, Hive, Spark, Elastic Search, AWS)Programming experience with C/C++/C# and JavaSelf-motivated with a strong work ethic and writing proficiency as evidenced by a strong publication record.The ability to think “out of the box” to combine multiple possibly unrelated solutions to solve a single complex problem.Preference would be given to candidates with healthcare experience.Machine Learning: 3 years (Required)Master's (Preferred)Palo Alto, CA (Required)One locationHealth insuranceDental insuranceDetail-oriented -- quality and precision-focusedInnovative -- innovative and risk-takingOutcome-oriented -- results-focused with strong performance cultureTeam-oriented -- cooperative and collaborativeMonday to Friday",machine learning engineer
Radical Convergence,"Reston, VA",Machine Learning Engineer,"
2+ years experience coding GANs to produce desired results.
3+ years experience in selecting or developing algorithms for performing a variety of machine learning and computer vision tasks with demonstrable experience
3+ years experience in applying and adapting the latest research in machine learning and computer vision to support business objectives including prototype development and product integration.
3+ years experience performing model training / algorithm development optimizing for speed, size or accuracy and developing / refining new and existing training sets as required.
5+ years experience designing, developing, enhancing, debugging and implementing software and algorithms using programming languages such as Java, C++, Python, R, or JavaScript.
Proficiency in Machine Learning processes such as feature extraction, statistical approaches, linear and non-linear classifiers, and deep learning including one or more approaches such as CNNs, SVM, and Bayesian Networks.
Experience with deep learning frameworks such as TensorFlow, Keras, or Torch
Proficiency in in Image Processing, Image Analysis, and/or Computer Vision
Ability to work independently, in a SCRUM-like environment with strong desire to push your ideas into production, overcoming obstacles, in order to deliver impact.

Master's or Ph.D. degree in Engineering, Computer Science, Machine Learning, Math, Statistics or related fields with specialization in machine learning and/or computer vision.
Computer vision experience in 3D computer vision tasks
Deep understanding of recent ANN/GAN concepts such as Spectral Normalization, Lipschitz Continuity, the Wasserstein Metric, Attention Mechanisms, Instance Normalization, and/or Perceptual Losses.
Experience with distributed training of deep neural networks across many GPUs/TPUs.
Experience with a diverse set of generative modeling techniques.
Competitive Pay
Competitive Paid Time Off (PTO) / Holiday (25 - 30 days)
100% Company paid medical/dental/vision/life/disability plans
Health Reimbursable Account (HRA) for those pesky copays
Flexible Savings Accounts (FSA)
Training Budget
401(k) Matching
Be Gumby – Flexible work schedule and location
Late Night Munchies – We are fully stocked
",machine learning engineer
Dematic,"Holland, MI",Machine Learning Engineer,"
Mapping and Localization: Development of advanced techniques for mapping, localization, and pose estimation of mobile robotic systems based on a variety of different sensors (camera, LIDAR, IMU, etc.).
Machine Learning: Developing and applying ML algorithms to the task of building / learning feature-extractors to enhance a vehicle’s spatial perception capabilities and robustness.
Software Development: Assisting in the design and implementation of developer and end-user tools that leverage ML.
Excellent communication skills
Strong background in machine vision and machine learning methods
Ability to implement new algorithms efficiently and rigorously
Strong quantitative ability
High level of experience with Python and C++ (Rust, Haskell, and/or Scala would also be great!)
Experience working with embedded systems with real-time constraints
Experience with software engineering tools (e.g. git, cmake, gdb, etc.)
Experience developing sotware a part of a team
Travel – Up To 5% (including International)",machine learning engineer
Botkeeper Inc,"Boston, MA",Frontend Engineer,"
Scale the Human - train machines to quickly, tirelessly and consistently execute the tedious, repetitive tasks involved with bookkeeping
Inform the Human - combine timely financials with disparate data sets to help business owners leverage insight from their operations
Connect the Human - make necessary interactions with our users delightful, ergonomic and unobtrusive through a variety of means (web, mobile, text, email, …)
Taking designs/mocks and architecting a code structure to maximize maintainability and efficiency
Participate in infrastructural elements such as API designs
Front end application development using modern SPA frameworks where possible
Work with product teams and end users in order to understand user interactions and prototype solutions for improving customer's workflow and experiences
Influencing the features and direction of our products with your own ideas
Actively contribute to our code review culture
Lead and mentor junior/mid level engineers, and help establish coding and design standards
3+ years of software engineering experience (with at least 2 years at one location)
Proficient knowledge of core Javascript and libraries such as ReactJS
Proficient knowledge of NPM, webpack, Git and other frontend development tools
Demonstrated experience of building a projects from a completely blank slate
Demonstrated experience of learning and extending an existing code base
Experience in communicating with users, other technical teams, and management to collect requirements, identify tasks, provide estimates and meet production deadlines
Curious about how things work, creative about how to approach problems, and eager to collaborate with others",machine learning engineer
Group HN - HN Services USA,"New York, NY",Data Scientist Machine Learning Engineer,NA,machine learning engineer
TikTok,"Mountain View, CA",Machine Learning Engineer -Trust and Safety,NA,machine learning engineer
